House_Area;Build;No_of_Bathrooms;No_of_Bedrooms;Garage_Area;Living_Space;Rating;Parking;House_Price
13650;1958;2;4;451;1252;5;2;172500
17423;2008;2;1;1166;2234;5;3;501837
8520;1923;1;2;480;968;6;2;100000
2117;2000;2;3;440;769;5;2;177000
7588;1920;1;4;216;901;6;1;200100
9060;1957;1;3;252;1340;6;1;120000
11426;2003;2;3;484;1362;5;2;200000
7438;1908;1;3;576;936;8;2;127000
22950;1892;2;4;840;1518;9;3;475000
9947;1990;2;3;497;1217;5;2;173000
10410;1916;2;3;180;808;7;1;135000
7018;1979;0;2;NaN;1224;5;2;153337
4923;2001;1;0;682;1593;5;2;286000
10570;1932;2;3;440;1549;8;2;315000
7472;1972;1;4;484;725;9;2;184000
9017;1999;2;3;666;1431;5;2;192000
2522;2004;2;3;380;970;5;2;130000
7180;1972;1;3;352;864;7;1;127000
2280;1976;2;3;440;855;6;2;148500
9416;2007;2;3;786;1726;5;3;311872
25419;1918;2;4;795;1360;4;2;235000
5520;1912;1;5;0;929;6;0;104000
9591;2004;2;3;856;1713;5;3;274900
8546;2003;2;2;440;1121;5;2;140000
10125;1977;2;3;473;1279;6;2;171500
7000;1924;2;2;398;865;6;1;112000
4438;2004;1;1;420;848;5;2;149000
3500;1947;1;2;240;720;7;1;110000
11851;1990;2;3;500;1442;5;2;180500
13673;1962;1;3;349;1696;5;1;143900
12493;1960;1;3;312;1100;5;1;141000
14364;1988;2;3;454;1180;5;2;277000
8250;1964;1;3;504;1092;7;2;145000
5604;1925;1;2;0;864;6;0;98000
10420;2009;2;3;460;1212;5;2;186000
8640;2009;2;3;644;932;5;2;252678
13568;1995;1;3;576;990;5;2;156000
10900;1977;1;3;299;689;7;1;161750
10011;1957;1;2;447;1236;6;1;134450
8450;2004;2;3;484;1436;5;2;210000
9906;1925;1;3;210;810;4;1;107000
15660;1939;1;NaN;431;1137;9;2;311500
3010;2005;2;2;438;1248;5;2;167240
8990;2006;2;2;675;1498;5;2;204900
8068;2002;2;4;390;1010;5;2;200000
11475;1975;2;3;434;811;6;2;179900
10500;1971;1;2;576;864;6;2;97000
13472;2003;2;3;968;2392;5;3;386250
1680;1971;2;3;280;630;5;1;112000
9950;1995;2;4;721;1214;5;3;290000
1869;1970;1;2;280;483;6;1;106000
8521;1967;1;3;336;912;5;1;125000
3182;2005;2;2;430;1555;5;2;192500
8760;1959;1;3;312;1194;6;1;148000
15138;1995;2;4;810;1490;5;3;403000
1680;1972;1;2;NaN;483;5;1;94500
10650;1976;1;3;308;894;6;1;128200
7851;2002;2;4;440;860;5;2;216500
1680;1971;1;2;264;483;3;1;89500
8773;2004;2;3;494;1414;5;2;185500
9453;1993;2;3;457;1014;7;2;194500
12030;2007;2;3;818;1694;5;3;318000
8741;1945;1;3;220;798;4;1;113000
9000;2008;2;3;750;1566;5;2;262500
3880;1945;1;2;0;866;9;0;110500
5000;1900;1;3;352;889;4;1;79000
10762;1980;1;3;288;626;6;1;120000
8880;1994;2;3;463;1222;5;2;205000
10400;1988;2;3;604;1872;5;2;241500
9142;1910;2;4;440;908;8;1;137000
11310;1954;1;2;451;1375;5;2;140000
11317;2003;2;3;500;840;5;2;180000
159000;1958;2;4;389;1444;7;2;277000
5350;1940;1;3;0;1306;2;0;76500
4750;2006;2;2;538;1625;5;2;235000
8366;2004;2;3;520;798;5;2;173000
9350;1964;2;3;309;1302;7;One;158000
8400;1957;1;3;294;1314;6;1;145000
8738;1999;2;4;429;1005;5;2;230000
8791;2003;2;3;673;864;5;2;207500
8814;2006;2;3;660;1604;5;2;220000
12435;2001;2;3;564;963;5;2;231500
12702;1956;1;2;308;882;5;1;97000
19296;1962;1;3;884;1382;5;2;180000
9588;2007;2;3;868;1482;5;3;276000
8471;1977;1;3;492;1212;7;2;151000
5500;1929;1;3;484;926;7;2;130000
5232;1925;1;2;504;764;5;2;73000
12090;1981;2;3;576;1422;6;2;175500
11207;1997;2;3;413;802;5;2;185000
8400;1939;2;4;240;1052;8;1;179500
6900;1940;1;2;924;778;6;1;120500
7917;1976;1;3;504;1113;7;1;148000
10728;2006;2;3;1053;1095;5;3;266000
39104;1954;1;2;439;1363;7;2;241500
11764;1999;2;4;671;1164;7;3;290000
9600;1958;2;3;338;1632;6;1;139000
8314;1982;1;2;264;816;7;1;124500
7264;1925;2;3;672;952;7;2;205000
9196;2003;2;3;573;1560;5;2;201000
19138;1951;1;2;400;864;5;2;141000
14450;2006;2;3;732;2121;5;3;415298
10005;1977;2;4;505;1156;5;2;192000
11287;1989;2;3;575;1175;6;2;228500
7200;2006;2;2;572;1262;5;2;185000
5063;2007;2;2;626;1314;5;2;207500
9612;2008;2;3;898;1468;5;3;244600
8012;1992;2;2;529;1575;5;2;179200
4251;2006;2;2;528;625;5;2;164700
9786;1962;1;3;440;1085;7;2;159000
8125;1971;1;3;0;858;4;0;88000
9819;1967;1;3;280;900;5;1;122000
8730;1915;1;3;384;698;7;1;153575
15611;2006;2;3;685;1079;5;Two;233230
5687;1912;2;6;0;936;6;0;135900
11409;1949;1;3;281;1148;4;1;131000
16659;1977;2;3;539;1468;7;2;235000
9600;1953;1;3;418;1644;5;2;167000
7937;1984;1;3;588;1003;6;2;142500
13710;1950;1;4;282;910;5;One;152000
7399;1997;2;3;576;975;5;2;239000
11700;1968;1;3;539;1041;6;2;175000
14000;1950;1;3;300;1152;8;1;158500
15750;1953;1;2;375;1336;5;1;157000
16226;1998;2;4;683;1210;5;2;267000
13704;2001;2;3;843;1541;5;3;205000
9800;1972;1;3;552;894;7;2;149900
18386;1880;3;3;870;1675;9;3;295000
10386;2004;2;3;888;2000;5;3;305900
13474;1990;2;4;746;1122;5;3;225000
7920;1920;1;3;0;1035;7;0;89500
14145;1984;2;3;440;1621;7;2;202500
12400;1958;1;3;297;1215;7;1;155000
14191;2002;2;4;431;993;5;2;202900
8400;1950;1;2;294;841;4;1;82000
8544;1949;2;2;400;1040;4;2;87500
8849;2005;2;2;564;1684;5;2;266000
2592;1976;1;3;336;536;3;1;85000
6435;1939;1;3;312;NaN;5;1;140200
12772;1960;1;2;301;958;8;1;151500
17600;1960;2;3;498;1478;5;2;157500
2448;2003;2;2;474;764;5;2;154000
20431;2005;2;4;706;1848;5;3;437154
7820;2007;2;2;617;1869;5;2;318061
5271;1986;1;2;445;1453;5;2;190000
9084;1941;1;3;200;616;6;1;95000
8520;1928;1;2;484;720;8;2;105900
8400;1940;1;2;240;1192;5;1;140000
11249;1995;2;3;521;1200;5;2;177500
9248;1992;2;3;400;1167;6;2;173000
4224;1976;1;3;528;1142;5;2;134000
6930;1958;1;3;288;1352;4;1;130000
12011;1998;2;3;592;1086;5;2;280000
7540;1978;1;2;470;912;6;2;156000
9144;1940;1;3;240;988;5;1;145000
7301;2003;3;4;672;495;5;2;198500
1680;1972;1;2;264;483;8;One;118000
18800;1976;2;3;566;790;5;2;190000
10690;1920;1;3;468;672;7;1;147000
17120;1959;2;4;680;1120;4;2;134432
11143;2004;3;4;610;1580;5;2;340000
11394;2010;1;1;834;1856;2;Three;394432
8123;2000;2;3;463;1007;5;2;179000
5000;1924;2;3;308;1026;6;1;127000
7200;2006;2;2;572;1301;5;2;187750
9245;2006;2;3;639;939;5;2;213500
9000;1928;1;2;360;784;3;2;76000
53107;1992;2;3;501;1079;5;2;240000
3182;2004;2;2;430;1269;5;2;192000
8410;1910;NaN;5;0;658;3;0;81000
7200;1976;1;3;352;1125;6;1;125000
9382;1999;2;3;577;1479;5;2;191000
12474;2007;2;3;846;1742;5;3;426000
8405;1900;1;4;384;961;8;1;119000
12209;2001;2;3;560;804;5;2;215000
8339;1959;1;3;294;882;7;1;106500
7446;1941;1;2;0;788;5;0;100000
10134;1940;1;2;240;735;6;One;109000
9571;1956;1;3;596;1144;6;1;129000
7200;1972;1;2;600;894;5;2;123000
7590;1962;2;4;264;876;5;1;169500
8967;1920;1;2;338;NaN;2;1;67000
8125;2006;2;2;438;1112;5;2;241000
6120;1929;1;2;576;854;8;2;132000
11764;1999;2;4;671;1164;7;3;290000
11751;1977;2;3;546;1844;6;2;190000
